objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237660024496325299,10376369261954486272,GALAXY,3388,301,1,206,342.966649022763,-1.10941058040889,1.088655,23.65274,12.71096,1.378906,0.3787387,23.12079,0.2940976,1.317534,0.2951106,22.61238,0.6026087,0.8685783,0.2041562,22.42773,2.645707,0.9012985,0.1517099,21.96704,1.218829,1.00948,0.1128443,0.6155739,0.5993671,0.2370949,0.4995594
1237660024496325372,10376353593913790464,GALAXY,3388,301,1,206,343.001429189748,-1.05073444596145,0.8427011,22.68884,6.3726,1.365313,0.3746814,22.68373,1.332501,1.322211,0.2919492,22.44759,0.120003,0.8772112,0.2019691,21.98531,0.09787676,0.870574,0.1500847,21.48813,1.776336,1.001731,0.1116355,0.08783913,0.3261223,0.514164,0.535635
1237661085349118761,10819999396344909824,GALAXY,3635,301,1,143,132.126281561734,27.6465473493257,0.8181492,23.69915,2.646443,1.462041,0.1964184,23.85046,2.981775,1.428195,0.1530479,22.44277,0.2135752,1.198653,0.1058778,22.65415,1.705905,1.299168,0.07867855,21.44412,0.7895943,1.239372,0.05852238,-0.1079369,1.454861,-0.1841888,1.230185
1237661086422729593,10820044476321648640,GALAXY,3635,301,3,141,131.471491646719,28.0999110241033,0.8597924,22.74745,4.560074,1.542538,0.2770007,23.329,1.69339,1.371024,0.2158371,22.49423,0.1376081,1.197556,0.1493151,22.08903,0.6851669,1.057574,0.1109571,21.91606,1.364707,1.073335,0.08253171,-0.5203838,0.9012947,0.4435539,0.2013969
1237661086422794814,10820053272414670848,GALAXY,3635,301,3,142,131.484846416583,28.2928973238606,0.9872238,23.62134,7.627972,1.394259,0.2264243,22.77424,1.798438,1.347031,0.1764283,22.44581,0.3103184,1.140706,0.1220523,22.10149,0.4575389,1.13989,0.09069792,21.78174,0.004773435,1.142805,0.06746259,0.8970947,0.382803,0.3756809,0.3429794
1237661086424236452,11751083434898116608,GALAXY,3635,301,3,164,134.664303163553,29.9717138545887,0.9544859,23.66162,12.32371,1.46243,0.1090741,22.55426,0.3136418,1.265523,0.08498976,22.62012,0.5214383,1.040369,0.05879553,21.84533,0.3664552,1.025576,0.04369138,20.61664,3.298077,1.100224,0.03249836,1.131437,-0.03966713,0.7899017,1.239883
1237661086959731565,10820049699001880576,GALAXY,3635,301,4,143,131.332043536273,28.6759625735218,0.9186697,24.10975,9.384843,1.291328,0.2110423,23.14737,0.1877164,1.339218,0.1644427,22.40068,0.4027574,1.060358,0.1137607,21.73414,0.1279981,1.15124,0.0845364,21.18144,3.117414,1.187672,0.06287955,1.008984,0.7973728,0.6957569,0.5743561
1237661086960648734,11751143083403923456,GALAXY,3635,301,4,157,133.44150322927,29.7436858428073,1.092976,23.52689,29.67061,1.36674,0.1179643,22.90244,0.1590158,1.184917,0.09191695,22.4685,0.1263377,1.146444,0.06358772,22.59074,5.655936,1.100166,0.04725249,22.02425,1.88043,0.9765934,0.03514717,0.6504955,0.4622669,-0.1059036,0.5785942
1237661124541022958,10820065092164669440,GALAXY,3644,301,2,148,131.880801698887,28.2734695289035,0.8015348,22.92872,9.890055,1.560026,0.2231628,22.8452,0.2940108,1.396335,0.1738869,22.42469,0.1897084,1.212776,0.1202942,21.59019,0.2360134,1.112248,0.08939147,21.43254,0.7080354,1.211004,0.06649083,0.1328049,0.4740982,0.865406,0.1805458
1237661124542006043,11751096629037649920,GALAXY,3644,301,2,163,134.106230837245,29.3631288335313,1.012095,25.34822,0.0007706394,1.531691,0.1003112,23.23647,0.4559693,1.381672,0.0781618,22.5928,0.0004750422,1.350095,0.05407197,22.56299,9.784428,1.163307,0.04018127,22.62357,29.67058,1.111229,0.02988748,2.133896,0.6677589,0.04370308,-0.05029297
1237657191447724896,4755969523739545600,GALAXY,2728,301,4,499,12.9051034935101,0.396706134903019,0.4051464,23.53297,12.32531,1.090401,0.09095973,23.25557,2.208787,1.135927,0.0708752,22.55289,0.1521132,0.8580069,0.04903113,22.45974,0.4937571,0.7862993,0.03643539,21.73574,12.32212,0.8928457,0.02710124,0.2974892,0.7245197,0.1057453,0.7333355
1237663783668941710,4760434090754461696,GALAXY,4263,301,3,244,19.1788826192228,-0.324535049694076,0.349682,23.92856,5.116448,1.017835,0.1308964,23.80336,1.328922,0.9664407,0.1019936,22.73996,0.002711194,0.8435466,0.0705587,22.92983,6.586478,0.8662821,0.05243267,22.11826,2.754052,0.8244342,0.03900028,0.1541061,1.094835,-0.1717472,0.8250027
1237663784742420514,4759378284663558144,GALAXY,4263,301,5,240,18.5863865564999,0.51402461346091,0.7789708,24.39748,0.1493004,1.041788,0.1220653,23.10957,0.2202045,1.106359,0.09511244,22.45062,0.1021856,0.9100304,0.06579834,21.67092,0.3272382,0.8912114,0.04889522,21.80214,0.1522613,1.149758,0.03636906,1.314865,0.6882629,0.7966042,-0.1187
1237654391105520436,9320232531466145792,GALAXY,2076,301,4,140,124.361767084455,43.9447276410249,0.8777924,25.4609,0.0005999195,1.442535,0.3931669,23.81172,14.1057,1.379187,0.306353,22.35653,0.4817585,1.193738,0.2119336,21.12135,2.161301,1.179928,0.1574894,19.82893,1.705836,1.129645,0.1171432,1.736,1.54961,1.289625,1.33276
1237656569195856626,10404546176947081216,GALAXY,2583,301,5,217,335.483998638218,0.499756481580872,0.8414211,23.76845,9.873546,1.158543,0.2915918,22.73563,1.061495,1.143455,0.2272064,22.45523,0.1593687,0.9709705,0.1571803,22.03892,0.2530579,0.9429123,0.1168018,21.0934,1.705608,0.9981747,0.0868791,1.097208,0.3504219,0.4566975,0.9754429
