objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237667212137464085,1.2825134228225413e+19,GALAXY,5061,301,5,410,178.189710595132,30.374652467531,0.3016865,22.49537,0.0001361209,1.127487,0.07006776,22.07451,0.2739258,1.067077,0.05459632,21.57443,0.1585653,0.9078795,0.03776948,21.69888,0.5048556,0.7962128,0.02806677,21.35853,0.1659826,0.9065127,0.02087652,0.436327,0.5169086,-0.114748,0.3475418
1237669761181221836,1.274651832051121e+19,GALAXY,5655,301,1,115,323.728664458006,4.48052954041136,0.8238447,22.18269,0.2408113,1.219805,0.2288711,21.98652,0.1714167,1.110957,0.1783348,21.73999,0.1363945,0.9573184,0.1233712,21.38334,0.2940343,0.8736092,0.09167802,21.23503,1.575673,1.079703,0.0681916,0.2467079,0.3014946,0.3883381,0.1718025
1237667229832511716,1.2475245436914127e+19,GALAXY,5065,301,6,79,30.9397568082808,7.66746692262097,0.8613247,21.60205,0.366394,1.331963,0.446768,21.63445,0.1957362,1.162345,0.3481186,21.67792,0.3291021,1.22283,0.2408268,21.22281,0.1221821,1.545105,0.1789601,20.84527,8.519439e-05,1.173556,0.1331135,0.06625366,0.06381989,0.516983,0.4233799
1237669696765952451,1.2729604258682655e+19,GALAXY,5640,301,1,256,344.078069405596,5.99482197588047,0.8594993,22.26283,0.2360377,1.630894,0.391833,21.63285,0.1914614,1.191041,0.3053136,21.38923,0.1788013,1.163979,0.2112146,20.78416,0.09117381,1.092279,0.156955,20.59899,0.1222166,1.146086,0.1167457,0.7164936,0.337719,0.6593342,0.2253761
1237669696766542189,1.2729678750595437e+19,GALAXY,5640,301,1,265,345.402361796003,6.11425978813983,0.5731735,22.8642,0.4865125,1.464075,0.3165135,22.61589,0.1895689,1.181664,0.2466252,21.48088,0.6112693,1.124259,0.1706142,20.28756,0.5794531,1.104536,0.1267846,19.57827,0.6526874,1.129933,0.09430445,0.3181973,1.211023,1.23715,0.7417717
1237669697302823503,1.2729610305996607e+19,GALAXY,5640,301,2,256,344.125746715235,6.58546675673651,0.5407036,21.85085,0.9167308,1.51657,0.3205166,21.47282,0.1521424,1.196154,0.2497444,21.21151,0.2656461,1.120037,0.172772,20.59138,0.1946769,1.035868,0.1283881,20.23609,0.3914859,1.010468,0.09549718,0.4488068,0.3382816,0.6645088,0.3881874
1237669697303478402,1.272968644717683e+19,GALAXY,5640,301,2,266,345.659545874685,6.64333663784928,0.8856268,23.59474,0.6555548,1.383878,0.2648475,24.45188,0.002087936,1.298595,0.2063674,21.78842,0.466128,1.079387,0.142764,20.39812,0.724489,1.049819,0.106089,19.67387,0.3242269,1.014983,0.0789107,-0.7986546,2.72706,1.426979,0.7514267
1237669697303544282,1.2729694143758225e+19,GALAXY,5640,301,2,267,345.680288761101,6.46524314780862,0.5827922,22.4825,0.0007566113,1.368774,0.2917912,23.15674,0.1127452,1.252109,0.2273617,21.5896,0.806816,1.123774,0.1572878,20.13576,0.3945477,1.03882,0.1168817,19.49412,0.2890975,0.9876964,0.08693849,-0.6098118,1.637218,1.494244,0.6715832
1237669698902296049,1.2740916308281151e+19,GALAXY,5640,301,5,86,318.443829784981,5.99624998699756,0.6503261,25.95232,0.1036602,1.508603,0.3707495,23.69232,0.3663631,1.465578,0.2888855,21.57098,0.3730271,1.256561,0.1998496,20.3281,0.7087538,1.086018,0.1485097,19.66185,0.4715219,1.248648,0.1104639,2.341862,2.210377,1.294212,0.7042999
1237669763862759432,1.2740851437095113e+19,GALAXY,5655,301,6,72,317.222769218915,6.03390722164413,0.5763202,25.83446,0.02413288,1.177765,0.3764676,23.59846,0.4567392,1.118174,0.293341,21.39004,0.9741493,1.162319,0.2029319,20.39521,0.7080839,1.229876,0.1508002,19.70992,0.3784505,1.247228,0.1121676,2.319124,2.298828,1.046959,0.7239304
